model,config_id,fold,hidden_dim,num_layers,heads,dropout,lr,weight_decay,train_mae,train_mse,train_rmse,val_mae,val_mse,val_rmse,test_mae,test_mse,test_rmse
GAT,0,0,128,2,4,0.3,0.0005,0.0005,1.3421322107315063,2.566467046737671,1.6020196773877875,1.3446601629257202,2.569484233856201,1.6029610830760057,1.340857744216919,2.5591847896575928,1.599745226483765
GAT,0,1,128,2,4,0.3,0.0005,0.0005,1.316027045249939,2.4682412147521973,1.57106372078035,1.315077304840088,2.4672298431396484,1.5707418130105433,1.3154590129852295,2.4643285274505615,1.5698179918227977
GAT,0,2,128,2,4,0.3,0.0005,0.0005,1.3535020351409912,2.6002073287963867,1.6125158383086928,1.3520119190216064,2.601553201675415,1.6129331051458442,1.3551862239837646,2.609517812728882,1.6154002020331932
GAT,1,0,128,2,4,0.3,0.0005,0.001,1.3602721691131592,2.640538215637207,1.624973296899739,1.3671520948410034,2.6608378887176514,1.6312074940723058,1.3603832721710205,2.644941568374634,1.6263276325435272
GAT,1,1,128,2,4,0.3,0.0005,0.001,1.367085576057434,2.66265869140625,1.6317655136097986,1.366150140762329,2.6720364093780518,1.6346364762166699,1.3656535148620605,2.6615302562713623,1.631419705738337
GAT,1,2,128,2,4,0.3,0.0005,0.001,1.3196053504943848,2.4825527667999268,1.5756118706077098,1.3184024095535278,2.4872069358825684,1.577088119250972,1.321036458015442,2.491323709487915,1.5783927614785602
GAT,2,0,128,2,4,0.3,0.001,0.0005,1.2706869840621948,2.341033697128296,1.5300436912481603,1.2789160013198853,2.3639698028564453,1.5375206674566835,1.272215485572815,2.3488712310791016,1.5326027636276471
GAT,2,1,128,2,4,0.3,0.001,0.0005,1.2582141160964966,2.323420763015747,1.5242771280235583,1.2617303133010864,2.340442657470703,1.529850534356446,1.2611571550369263,2.336393356323242,1.5285265311152574
GAT,2,2,128,2,4,0.3,0.001,0.0005,1.2692307233810425,2.3133597373962402,1.5209732862204517,1.2775707244873047,2.3437821865081787,1.5309416012729482,1.2742581367492676,2.334442138671875,1.5278881302869902
GAT,3,0,128,2,4,0.3,0.001,0.001,1.2756298780441284,2.3239240646362305,1.5244422142660017,1.2845323085784912,2.3468151092529297,1.5319318226516903,1.279653549194336,2.334209442138672,1.5278119786605522
GAT,3,1,128,2,4,0.3,0.001,0.001,1.2471950054168701,2.3230230808258057,1.524146673002899,1.247171401977539,2.329106569290161,1.5261410712283976,1.2461447715759277,2.321894645690918,1.5237764421629958
GAT,3,2,128,2,4,0.3,0.001,0.001,1.2619658708572388,2.3221755027770996,1.5238685976084354,1.2713910341262817,2.355600595474243,1.5347965974272433,1.2696199417114258,2.3571650981903076,1.5353061903706073
GAT,4,0,128,2,4,0.4,0.0005,0.0005,1.3463306427001953,2.596001148223877,1.6112110812130969,1.3532075881958008,2.6120104789733887,1.6161715499826708,1.3467730283737183,2.604201078414917,1.6137537229747658
GAT,4,1,128,2,4,0.4,0.0005,0.0005,1.3673619031906128,2.669116497039795,1.6337430939532063,1.3559393882751465,2.631941318511963,1.622325897750499,1.366729736328125,2.661968946456909,1.6315541506358007
GAT,4,2,128,2,4,0.4,0.0005,0.0005,1.3908289670944214,2.748408079147339,1.6578323434977793,1.3889529705047607,2.7548294067382812,1.659767877366676,1.3963243961334229,2.7727622985839844,1.6651613431088246
GAT,5,0,128,2,4,0.4,0.0005,0.001,1.3228307962417603,2.5335373878479004,1.5917089519908785,1.3202154636383057,2.5290749073028564,1.5903065450732625,1.3236325979232788,2.534984588623047,1.5921634930568678
GAT,5,1,128,2,4,0.4,0.0005,0.001,1.3547879457473755,2.636420488357544,1.6237057887306874,1.3507280349731445,2.6302406787872314,1.6218016767740844,1.3560601472854614,2.640989303588867,1.6251120895460927
GAT,5,2,128,2,4,0.4,0.0005,0.001,1.3419053554534912,2.8721487522125244,1.6947415001151427,1.3545036315917969,2.9171719551086426,1.707973054561647,1.3507976531982422,2.9055707454681396,1.704573479046339
GAT,6,0,128,2,4,0.4,0.001,0.0005,1.264977216720581,2.3093326091766357,1.5196488440349092,1.2709786891937256,2.327979326248169,1.5257717149849674,1.2703065872192383,2.3251869678497314,1.5248563761383338
GAT,6,1,128,2,4,0.4,0.001,0.0005,1.3293492794036865,2.485043525695801,1.5764020824953895,1.3253085613250732,2.4819579124450684,1.5754230899809323,1.3291149139404297,2.4851081371307373,1.5764225756854464
GAT,6,2,128,2,4,0.4,0.001,0.0005,1.2868937253952026,2.3751304149627686,1.5411458123625967,1.2951017618179321,2.399517774581909,1.5490376930797742,1.2918059825897217,2.394789934158325,1.547510883373143
GAT,7,0,128,2,4,0.4,0.001,0.001,1.2570806741714478,2.3110716342926025,1.5202209162791447,1.2633757591247559,2.3312082290649414,1.5268294695429943,1.2597129344940186,2.3165054321289062,1.5220070407619362
GAT,7,1,128,2,4,0.4,0.001,0.001,1.2723122835159302,2.3568272590637207,1.5351961630566044,1.26957106590271,2.3588242530822754,1.5358464288731069,1.2753230333328247,2.3650381565093994,1.5378680556242137
GAT,7,2,128,2,4,0.4,0.001,0.001,1.2656817436218262,2.3349571228027344,1.5280566490816807,1.2729244232177734,2.365565299987793,1.5380394338207954,1.2697267532348633,2.3480587005615234,1.5323376587950592
GAT,8,0,128,2,6,0.3,0.0005,0.0005,1.3872030973434448,2.7737951278686523,1.6654714431261355,1.3953465223312378,2.792708158493042,1.67113977826304,1.3905727863311768,2.783965826034546,1.6685220484112717
GAT,8,1,128,2,6,0.3,0.0005,0.0005,1.277695655822754,2.3779704570770264,1.5420669431243983,1.2792056798934937,2.3908841609954834,1.5462484150341056,1.2746400833129883,2.3686070442199707,1.5390279543335041
GAT,8,2,128,2,6,0.3,0.0005,0.0005,1.3585057258605957,2.6330957412719727,1.622681651240308,1.359086036682129,2.6413116455078125,1.6252112618080803,1.3591610193252563,2.6366894245147705,1.6237886021630927
GAT,9,0,128,2,6,0.3,0.0005,0.001,1.3704991340637207,2.7119252681732178,1.6467924180579705,1.373793125152588,2.7207834720611572,1.649479758002855,1.3678735494613647,2.706681728363037,1.645199601374568
