model,config_id,fold,hidden_dim,num_layers,heads,dropout,lr,weight_decay,train_mae,train_mse,train_rmse,val_mae,val_mse,val_rmse,test_mae,test_mse,test_rmse
GAT,0,0,256,2,4,0.3,0.0005,0.0,1.2713791131973267,2.305506706237793,1.5183895107111987,1.2979320287704468,2.376607656478882,1.5416250051419385,1.2925758361816406,2.3685619831085205,1.5390133147924745
GAT,0,1,256,2,4,0.3,0.0005,0.0,1.2749114036560059,2.320533275604248,1.5233296674076324,1.29227614402771,2.370210886001587,1.5395489228996873,1.2957180738449097,2.376589298248291,1.541619050948804
GAT,0,2,256,2,4,0.3,0.0005,0.0,1.257080078125,2.274613380432129,1.5081821443155097,1.279338002204895,2.342907667160034,1.5306559597636675,1.282774567604065,2.349132776260376,1.5326880883794902
GAT,1,0,256,2,4,0.3,0.001,0.0,1.2912687063217163,2.3710124492645264,1.5398092249576005,1.3176195621490479,2.445358991622925,1.5637643657606874,1.3079774379730225,2.4217543601989746,1.5561986891778872
GAT,1,1,256,2,4,0.3,0.001,0.0,1.1746692657470703,2.0861876010894775,1.4443640819023011,1.2230489253997803,2.225036859512329,1.4916557443030645,1.2219570875167847,2.2169241905212402,1.488933910729835
GAT,1,2,256,2,4,0.3,0.001,0.0,1.2948681116104126,2.3770997524261475,1.5417845998796809,1.3202626705169678,2.455854654312134,1.5671166690173817,1.3175556659698486,2.445631742477417,1.5638515730328812
GAT,2,0,256,2,4,0.4,0.0005,0.0,1.222550630569458,2.204774856567383,1.4848484288193804,1.2493616342544556,2.275179386138916,1.5083697776536482,1.2469373941421509,2.2660915851593018,1.5053543055238863
GAT,2,1,256,2,4,0.4,0.0005,0.0,1.2123655080795288,2.187131881713867,1.4788954938446013,1.2360565662384033,2.252894878387451,1.5009646492797395,1.2354979515075684,2.249234914779663,1.4997449499097049
GAT,2,2,256,2,4,0.4,0.0005,0.0,1.2625705003738403,2.3126676082611084,1.5207457408328022,1.2811006307601929,2.3700482845306396,1.5394961138407073,1.2832146883010864,2.3743677139282227,1.540898346396745
GAT,3,0,256,2,4,0.4,0.001,0.0,1.1740777492523193,2.086702585220337,1.4445423445577277,1.2200291156768799,2.2174320220947266,1.4891044362618515,1.2214711904525757,2.211209297180176,1.4870135497634767
GAT,3,1,256,2,4,0.4,0.001,0.0,1.3227612972259521,2.453803062438965,1.5664619569076565,1.3285425901412964,2.4779887199401855,1.574162863219745,1.3352627754211426,2.4894461631774902,1.5777978841339249
GAT,3,2,256,2,4,0.4,0.001,0.0,1.1729322671890259,2.096144914627075,1.4478069327873366,1.225236415863037,2.2511982917785645,1.500399377425412,1.2269768714904785,2.2450006008148193,1.4983326068716583
GAT,4,0,256,2,6,0.3,0.0005,0.0,1.2730118036270142,2.3149280548095703,1.5214887626300664,1.2951334714889526,2.373753547668457,1.540699045131286,1.2918891906738281,2.3668289184570312,1.5384501676872837
GAT,4,1,256,2,6,0.3,0.0005,0.0,1.24705970287323,2.2483034133911133,1.499434364482525,1.2691763639450073,2.3174569606781006,1.5223195987302076,1.2720187902450562,2.3190033435821533,1.5228274175303496
GAT,4,2,256,2,6,0.3,0.0005,0.0,1.2843897342681885,2.3545353412628174,1.5344495238562972,1.3108574151992798,2.434976100921631,1.5604409956552765,1.313272476196289,2.4406261444091797,1.5622503462663018
GAT,5,0,256,2,6,0.3,0.001,0.0,1.166776180267334,2.077700138092041,1.4414229560028662,1.2191996574401855,2.2178525924682617,1.4892456454421015,1.2134002447128296,2.2048215866088867,1.4848641643628169
GAT,5,1,256,2,6,0.3,0.001,0.0,1.1649649143218994,2.088519811630249,1.4451712049547103,1.2122595310211182,2.22536563873291,1.4917659463645463,1.2149006128311157,2.2343924045562744,1.4947884146447865
