model,config_id,fold,hidden_dim,num_layers,heads,dropout,lr,weight_decay,train_acc,train_f1,train_mae,train_mse,train_rmse,val_acc,val_f1,val_mae,val_mse,val_rmse,test_acc,test_f1,test_mae,test_mse,test_rmse
SAGE,0,0,64,2,1,0.0,0.001,0.0,0.5842261614882633,0.5832297999173349,0.8315476770234732,1.6630953540469464,1.2896105435545053,0.5782322863403945,0.5771011991792883,0.843535427319211,1.687070854638422,1.298872917047092,0.5730871123577996,0.57217989347008,0.8538257752844008,1.7076515505688017,1.3067714224640825
SAGE,0,1,64,2,1,0.0,0.001,0.0,0.5811337294243694,0.5665259750290994,0.8377325411512613,1.6754650823025226,1.294397575052782,0.5713659605551498,0.5577669269439243,0.8572680788897005,1.714536157779401,1.3094029776120875,0.5714897927380396,0.5569752852312102,0.8570204145239209,1.7140408290478417,1.3092138209810655
SAGE,0,2,64,2,1,0.0,0.001,0.0,0.5682822601263743,0.5422234199310153,0.8634354797472515,1.726870959494503,1.314104622735383,0.5591916240564889,0.5333879877956955,0.8816167518870222,1.7632335037740443,1.3278680295021958,0.5599688321807733,0.5331960302174444,0.8800623356384533,1.7601246712769065,1.3266969025655055
SAGE,1,0,64,2,1,0.0,0.001,0.0005,0.5029219830524982,0.35576129706351595,0.9941560338950034,1.9883120677900068,1.410075199338676,0.5043097151205259,0.35687942096474834,0.9913805697589482,1.9827611395178963,1.4081055143411294,0.5025128564749883,0.3546774531788337,0.9949742870500233,1.9899485741000467,1.410655370421864
SAGE,1,1,64,2,1,0.0,0.001,0.0005,0.5039325021914873,0.3506017644553099,0.9921349956170255,1.984269991234051,1.408641186120174,0.5035305575846116,0.3504068948842148,0.9929388848307767,1.9858777696615535,1.4092117547272849,0.5034868318528908,0.3495322072885882,0.9930263362942184,1.9860526725884369,1.40927381036775
SAGE,1,2,64,2,1,0.0,0.001,0.0005,0.5113408086489646,0.36780056109515596,0.9773183827020709,1.9546367654041419,1.398083246950675,0.5112247382517653,0.3686670392752929,0.9775505234964694,1.9551010469929389,1.3982492792749577,0.5121651894419013,0.36966786711393607,0.9756696211161975,1.951339242232395,1.3969034477129745
SAGE,2,0,64,2,1,0.0,0.0003,0.0,0.5216348495178728,0.45461386038780155,0.9567303009642544,1.9134606019285088,1.3832789313542329,0.5185293401509617,0.4521485376379399,0.9629413196980765,1.925882639396153,1.3877617372575715,0.5189535608539816,0.45069041520465625,0.9620928782920368,1.9241857565840736,1.3871502285564004
SAGE,2,1,64,2,1,0.0,0.0003,0.0,0.5078163046654329,0.3683212659216544,0.9843673906691341,1.9687347813382683,1.4031160968851681,0.5069880691502313,0.3675171458502784,0.9860238616995374,1.9720477233990747,1.4042961665542901,0.5072268973040361,0.36782050492919477,0.9855462053919277,1.9710924107838554,1.4039559860564916
SAGE,2,2,64,2,1,0.0,0.0003,0.0,0.5052899424132852,0.26123030841008676,0.9885313561488732,1.97617395327319,1.4057645440375817,0.5016313610908205,0.2590338778229871,0.9960555149744339,1.9914292671049427,1.411180097331642,0.5060679848056882,0.2619381251565029,0.9871237946819909,1.9735073536573489,1.4048157721414396
SAGE,3,0,64,2,1,0.0,0.0003,0.0005,0.5254212525567352,0.5155096027052128,0.9491574948865297,1.8983149897730593,1.3777935221843145,0.5216459702946189,0.5119116639240499,0.9567080594107621,1.9134161188215242,1.3832628523970143,0.5196548231260714,0.5094141736229998,0.9606903537478573,1.9213807074957145,1.386138776420209
