model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse
GAT,0,1,8,1,0.001,169469313024.0,358528.625,411666.50704666274
GAT,0,1,8,1,0.01,258793760.0,14019.005859375,16087.068098320464
GAT,0,1,8,1,0.1,193310416.0,12104.1064453125,13903.611617130276
GAT,0,1,8,2,0.001,79111.3671875,248.2155303955078,281.267430015457
GAT,0,1,8,2,0.01,30047234.0,4774.546875,5481.5357337155065
GAT,0,1,8,2,0.1,3350.6767578125,51.34440612792969,57.885030515777565
GAT,0,1,8,4,0.001,10251101.0,2791.467041015625,3201.734061411097
GAT,0,1,8,4,0.01,17693422.0,3660.10791015625,4206.354954114073
GAT,0,1,8,4,0.1,1440058.875,1044.1190185546875,1200.0245309992624
GAT,0,1,16,1,0.001,304389440.0,15199.1533203125,17446.76015769117
GAT,0,1,16,1,0.01,100734984.0,8740.095703125,10036.68192183054
GAT,0,1,16,1,0.1,6086895.5,2149.029541015625,2467.163452226058
GAT,0,1,16,2,0.001,5121055.0,1972.280029296875,2262.974812056025
GAT,0,1,16,2,0.01,273193.28125,461.1408386230469,522.6789466297643
GAT,0,1,16,2,0.1,631076.75,692.66259765625,794.4033924902385
GAT,0,1,16,4,0.001,27836026.0,4599.9931640625,5275.985784666217
GAT,0,1,16,4,0.01,27691.744140625,143.8888702392578,166.40836559688037
GAT,0,1,16,4,0.1,4780966.5,1903.3885498046875,2186.5421331408184
GAT,0,1,32,1,0.001,894228.75,828.254150390625,945.636690278037
GAT,0,1,32,1,0.01,1315189.125,1004.247802734375,1146.816953571929
GAT,0,1,32,1,0.1,41050092.0,5581.021484375,6407.034571469082
GAT,0,1,32,2,0.001,269469.9375,455.818115234375,519.1049388129533
GAT,0,1,32,2,0.01,5423870.5,2028.9755859375,2328.920458066355
GAT,0,1,32,2,0.1,15.51703929901123,3.667128801345825,3.9391673357463795
GAT,0,1,32,4,0.001,390197.9375,543.96142578125,624.6582565691419
GAT,0,1,32,4,0.01,97771.5859375,274.54254150390625,312.6844830456094
GAT,0,1,32,4,0.1,17.19228172302246,3.8888399600982666,4.146357645334331
GAT,0,2,8,1,0.001,503223.59375,618.7906494140625,709.3825440127491
GAT,0,2,8,1,0.01,640431.0625,696.9595336914062,800.2693687128103
GAT,0,2,8,1,0.1,13.276662826538086,3.3498620986938477,3.6437155249193216
