model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse
GAT,0,3,16,2,0.01,4947437.0,1937.332275390625,2224.2834801346703
GAT,0,3,16,2,0.1,5.4120659828186035,2.1488404273986816,2.326384745225648
GAT,0,3,16,2,0.001,5077022.0,1962.2510986328125,2253.2248001475573
GAT,0,3,16,4,0.01,1615408.75,1106.490234375,1270.987313075941
GAT,0,3,16,4,0.1,2.068185567855835,1.2325787544250488,1.438118759997183
GAT,0,3,16,4,0.001,7429556.0,2373.29931640625,2725.7211889699943
GAT,0,3,16,8,0.01,682465.3125,720.0545043945312,826.1145879961206
GAT,0,3,16,8,0.1,2.068403482437134,1.235835075378418,1.4381945217657914
GAT,0,3,16,8,0.001,2021687.125,1237.1224365234375,1421.8604449804488
GAT,0,3,32,2,0.01,1470896.5,1056.6448974609375,1212.805219315946
GAT,0,3,32,2,0.1,2.071808338165283,1.251460313796997,1.4393777607581977
GAT,0,3,32,2,0.001,44527.3046875,182.01303100585938,211.0149394888902
GAT,0,3,32,4,0.01,252793.453125,436.548583984375,502.78569303929083
GAT,0,3,32,4,0.1,2.079876661300659,1.1916956901550293,1.4421777495512331
GAT,0,3,32,4,0.001,971725.5,859.7421264648438,985.761380862529
GAT,0,3,32,8,0.01,726842.375,742.84033203125,852.5505117000399
GAT,0,3,32,8,0.1,2.069053888320923,1.219290018081665,1.4384206228780658
GAT,0,3,32,8,0.001,856603.75,807.0184326171875,925.5289028442062
GAT,0,3,64,2,0.01,1777.191650390625,35.39696502685547,42.15675094680121
GAT,0,3,64,2,0.1,2.0717663764953613,1.2513362169265747,1.439363184361529
GAT,0,3,64,2,0.001,1732279.875,1145.912109375,1316.1610368796062
GAT,0,3,64,4,0.01,18555.5546875,117.59375,136.21877509176184
GAT,0,3,64,4,0.1,2.0766286849975586,1.2626171112060547,1.441051243015861
GAT,0,3,64,4,0.001,2538098.75,1388.32861328125,1593.1411582154294
GAT,0,3,64,8,0.01,1321.1444091796875,32.44520950317383,36.34755025004694
GAT,0,3,64,8,0.1,2.1274526119232178,1.1438847780227661,1.4585789700675167
GAT,0,3,64,8,0.001,3851238.25,1707.5877685546875,1962.4571969854528
GAT,0,4,16,2,0.01,1543254.5,1079.9886474609375,1242.277947964947
GAT,0,4,16,2,0.1,81999.03125,248.44239807128906,286.3547297496586
GAT,0,4,16,2,0.001,74015.1328125,237.2593231201172,272.05722341540576
GAT,0,4,16,4,0.01,586.0906372070312,21.635210037231445,24.20930889569199
GAT,0,4,16,4,0.1,2.0764265060424805,1.197813630104065,1.4409810914937367
GAT,0,4,16,4,0.001,2388900.75,1346.5404052734375,1545.6069196273677
GAT,0,4,16,8,0.01,202870.421875,393.254638671875,450.4113918130846
GAT,0,4,16,8,0.1,2.0681357383728027,1.229486346244812,1.4381014353559358
GAT,0,4,16,8,0.001,449759.34375,582.7671508789062,670.6409946834447
GAT,0,4,32,2,0.01,209299.21875,399.2764892578125,457.49231550923344
GAT,0,4,32,2,0.1,2.068294048309326,1.2255367040634155,1.4381564755996916
GAT,0,4,32,2,0.001,545606.9375,643.888427734375,738.6521085734474
GAT,0,4,32,4,0.01,1351954.0,1013.3623657226562,1162.7355675302963
GAT,0,4,32,4,0.1,2.0705788135528564,1.212532877922058,1.4389505945489778
GAT,0,4,32,4,0.001,1508205.25,1070.5831298828125,1228.0900822008132
GAT,0,4,32,8,0.01,376547.15625,535.0759887695312,613.6343832038749
GAT,0,4,32,8,0.1,2.2460525035858154,1.0808453559875488,1.498683590217033
GAT,0,4,32,8,0.001,596497.6875,672.8919067382812,772.3326274993178
GAT,0,4,64,2,0.01,11826.673828125,93.84935760498047,108.75051185224372
GAT,0,4,64,2,0.1,2.0683369636535645,1.23506498336792,1.4381713957847877
GAT,0,4,64,2,0.001,448193.15625,583.4815063476562,669.4722968502879
GAT,0,4,64,4,0.01,736.0249633789062,24.496845245361328,27.129780009777193
GAT,0,4,64,4,0.1,2.381499767303467,1.4279959201812744,1.5432108628776129
GAT,0,4,64,4,0.001,18798.541015625,120.09231567382812,137.10777153620796
GAT,0,4,64,8,0.01,499375.6875,616.0509643554688,706.6651876949933
GAT,0,4,64,8,0.1,2.0682196617126465,1.226739525794983,1.4381306135788385
GAT,0,4,64,8,0.001,353075.46875,516.3079833984375,594.2015388317334
GAT,0,5,16,2,0.01,46413456.0,5931.49951171875,6812.742179181596
GAT,0,5,16,2,0.1,18.943159103393555,4.107922077178955,4.352373961804472
GAT,0,5,16,2,0.001,99879.53125,272.9682922363281,316.0372307972591
GAT,0,5,16,4,0.01,748874.5625,752.4910888671875,865.3753881986707
GAT,0,5,16,4,0.1,2.068171262741089,1.232191801071167,1.438113786437321
GAT,0,5,16,4,0.001,32233.099609375,154.50758361816406,179.535789215897
GAT,0,5,16,8,0.01,37923.00390625,170.46937561035156,194.73829594163033
GAT,0,5,16,8,0.1,2.069319009780884,1.2178419828414917,1.438512777065565
GAT,0,5,16,8,0.001,4037.41796875,56.2556037902832,63.540679637142695
GAT,0,5,32,2,0.01,126313.4921875,308.6554870605469,355.40609475288966
GAT,0,5,32,2,0.1,2.12903094291687,1.3172943592071533,1.4591199206771424
GAT,0,5,32,2,0.001,285438.71875,465.7882080078125,534.2646523493763
GAT,0,5,32,4,0.01,179984.59375,370.1952209472656,424.24591188366213
GAT,0,5,32,4,0.1,2.2276182174682617,1.3712559938430786,1.4925207594764844
GAT,0,5,32,4,0.001,78996.640625,245.4446258544922,281.0634103276341
GAT,0,5,32,8,0.01,3557.21337890625,52.81214904785156,59.6423790513612
GAT,0,5,32,8,0.1,6489595969536.0,2217542.5,2547468.541422249
GAT,0,5,32,8,0.001,168165.453125,356.0840759277344,410.0798131156909
GAT,0,5,64,2,0.01,528888.0625,633.8323364257812,727.2469061467364
GAT,0,5,64,2,0.1,2.1322293281555176,1.1404838562011719,1.460215507435638
GAT,0,5,64,2,0.001,101345.8203125,276.1684265136719,318.3485830226043
GAT,0,5,64,4,0.01,844262.875,798.9640502929688,918.8377849218
GAT,0,5,64,4,0.1,5.375133514404297,2.1413800716400146,2.3184334181520714
GAT,0,5,64,4,0.001,37138.921875,168.77439880371094,192.71461251031278
GAT,0,5,64,8,0.01,12809.0224609375,97.6141128540039,113.17695198642478
GAT,0,5,64,8,0.1,7.21664511866359e+18,2048025216.0,2686381417.1974144
GAT,0,5,64,8,0.001,115189.4921875,296.3536071777344,339.3957751468041
GAT,1,3,16,2,0.01,17852.603515625,116.131103515625,133.61363521596513
GAT,1,3,16,2,0.1,31.023054122924805,5.383368015289307,5.569834299413655
GAT,1,3,16,2,0.001,11317268.0,2920.377197265625,3364.1147423950924
GAT,1,3,16,4,0.01,2277438.0,1308.30517578125,1509.118285622436
GAT,1,3,16,4,0.1,11.00526237487793,3.027338743209839,3.3174180283584898
GAT,1,3,16,4,0.001,152860.859375,338.3813781738281,390.9742438767546
GAT,1,3,16,8,0.01,22458.482421875,131.19891357421875,149.86154417286312
GAT,1,3,16,8,0.1,2.0424492359161377,1.2261630296707153,1.429142832580473
GAT,1,3,16,8,0.001,1774789.25,1157.07177734375,1332.2121640339424
GAT,1,3,32,2,0.01,422166.71875,564.7214965820312,649.7435792295296
GAT,1,3,32,2,0.1,2.0428271293640137,1.2309659719467163,1.4292750362907811
GAT,1,3,32,2,0.001,486134.25,603.1973266601562,697.2332823381282
GAT,1,3,32,4,0.01,412751.625,556.4336547851562,642.457488865995
GAT,1,3,32,4,0.1,2.04248309135437,1.22690749168396,1.429154677197108
GAT,1,3,32,4,0.001,1347893.875,1006.9296875,1160.9883182013505
GAT,1,3,32,8,0.01,176.96083068847656,10.495818138122559,13.302662541328957
GAT,1,3,32,8,0.1,2.0427298545837402,1.2300866842269897,1.4292410064729253
GAT,1,3,32,8,0.001,3051419.0,1514.6845703125,1746.831130933955
GAT,1,3,64,2,0.01,261675.953125,444.41632080078125,511.54271876843285
GAT,1,3,64,2,0.1,2.8491370677948,1.5369757413864136,1.6879387038025995
GAT,1,3,64,2,0.001,59719.2265625,209.82833862304688,244.3751758311388
GAT,1,3,64,4,0.01,2876500.5,1472.3446044921875,1696.0249113736509
GAT,1,3,64,4,0.1,2.069580078125,1.1662945747375488,1.4386035166525208
GAT,1,3,64,4,0.001,1572720.75,1087.3232421875,1254.081636098703
GAT,1,3,64,8,0.01,408410.46875,553.3300170898438,639.0700030121895
GAT,1,3,64,8,0.1,7.371562480926514,2.4974722862243652,2.7150621504721606
GAT,1,3,64,8,0.001,2677482.5,1420.277099609375,1636.3014697787203
GAT,1,4,16,2,0.01,774793.5625,763.1452026367188,880.2235866528458
GAT,1,4,16,2,0.1,13.777657508850098,3.425676107406616,3.7118267078151828
GAT,1,4,16,2,0.001,1142757.625,927.3067626953125,1068.998421420724
GAT,1,4,16,4,0.01,1437014.0,1040.658935546875,1198.755187684291
GAT,1,4,16,4,0.1,12.12718391418457,3.1928484439849854,3.4824106469778333
GAT,1,4,16,4,0.001,16658.69921875,113.8137435913086,129.0685833917379
GAT,1,4,16,8,0.01,9737.326171875,84.66436004638672,98.6778909983133
GAT,1,4,16,8,0.1,2.0457656383514404,1.2440011501312256,1.4303026387277067
GAT,1,4,16,8,0.001,665079.3125,706.4010009765625,815.5239496789778
GAT,1,4,32,2,0.01,16740.08984375,112.94091796875,129.38349911696622
GAT,1,4,32,2,0.1,7.326035976409912,2.2986156940460205,2.7066651023741213
GAT,1,4,32,2,0.001,466312.84375,589.4678955078125,682.8710301001207
GAT,1,4,32,4,0.01,463536.8125,589.8126831054688,680.8353784139011
GAT,1,4,32,4,0.1,16.197860717773438,3.762373685836792,4.0246565962543235
GAT,1,4,32,4,0.001,326302.96875,493.9417419433594,571.2293486420318
GAT,1,4,32,8,0.01,9076.2529296875,83.80303192138672,95.26937036470588
GAT,1,4,32,8,0.1,2.2317872047424316,1.0720314979553223,1.49391673286781
GAT,1,4,32,8,0.001,2401.540283203125,41.60248565673828,49.00551278379938
GAT,1,4,64,2,0.01,623704.4375,684.1068725585938,789.7496043050608
GAT,1,4,64,2,0.1,2.0427489280700684,1.2172890901565552,1.4292476790500896
GAT,1,4,64,2,0.001,476564.09375,597.8700561523438,690.3362179040007
GAT,1,4,64,4,0.01,104039.0546875,280.6470031738281,322.55085597080654
GAT,1,4,64,4,0.1,2.186840534210205,1.0912566184997559,1.4787969888426893
GAT,1,4,64,4,0.001,430329.59375,569.8436279296875,655.9951171693277
GAT,1,4,64,8,0.01,157596.5,343.4084167480469,396.98425661479325
GAT,1,4,64,8,0.1,2.0894718170166016,1.1481276750564575,1.4455005420326212
GAT,1,4,64,8,0.001,374105.375,529.707763671875,611.6415412641624
GAT,1,5,16,2,0.01,185765.0625,374.5071716308594,431.0047128512634
GAT,1,5,16,2,0.1,2.042658805847168,1.2293606996536255,1.429216150848838
GAT,1,5,16,2,0.001,341303.25,508.2326965332031,584.2116482919525
GAT,1,5,16,4,0.01,851254.9375,799.5442504882812,922.6347801270012
GAT,1,5,16,4,0.1,2.047244071960449,1.2480427026748657,1.4308193708363224
GAT,1,5,16,4,0.001,600155.75,673.116943359375,774.6971989106454
GAT,1,5,16,8,0.01,464506.5,590.3561401367188,681.5471370345562
GAT,1,5,16,8,0.1,2.0443239212036133,1.2084949016571045,1.4297985596592315
GAT,1,5,16,8,0.001,587394.625,664.3463134765625,766.416743684531
GAT,1,5,32,2,0.01,1329326.125,1001.0699462890625,1152.9640605847173
GAT,1,5,32,2,0.1,2.042692184448242,1.229712963104248,1.4292278280415065
GAT,1,5,32,2,0.001,442746.25,576.0714721679688,665.3918018731521
GAT,1,5,32,4,0.01,80467.921875,246.9150390625,283.6686832820994
GAT,1,5,32,4,0.1,3.342501163482666,1.1402186155319214,1.8282508480738267
GAT,1,5,32,4,0.001,114997.2734375,295.4444885253906,339.112479035349
GAT,1,5,32,8,0.01,165967.640625,354.35589599609375,407.3912623326622
GAT,1,5,32,8,0.1,35.9716682434082,5.824883460998535,5.997638555582372
GAT,1,5,32,8,0.001,14964.1982421875,107.02543640136719,122.32823975757806
GAT,1,5,64,2,0.01,4229.640625,57.273258209228516,65.03568731857918
GAT,1,5,64,2,0.1,9.756802558898926,2.8454983234405518,3.1235880904656628
GAT,1,5,64,2,0.001,2745.5546875,46.420352935791016,52.39804087463576
GAT,1,5,64,4,0.01,13045.7666015625,99.95252227783203,114.2180660034239
GAT,1,5,64,4,0.1,4.068856716156006,1.4235358238220215,2.0171407279007596
GAT,1,5,64,4,0.001,114731.8125,294.667236328125,338.72084745406505
GAT,1,5,64,8,0.01,132530.09375,316.702392578125,364.04682906186673
GAT,1,5,64,8,0.1,4.284500209186363e+20,17655797760.0,20699034299.18015
GAT,1,5,64,8,0.001,78104.15625,241.5265655517578,279.47120826661194
GAT,2,3,16,2,0.01,1213331.0,959.35595703125,1101.513050308529
GAT,2,3,16,2,0.1,26.110551834106445,4.904955863952637,5.109848513811975
GAT,2,3,16,2,0.001,9099567.0,2622.24169921875,3016.5488558947623
GAT,2,3,16,4,0.01,192119.765625,380.0698547363281,438.31468789558033
GAT,2,3,16,4,0.1,9.055740356445312,2.7508819103240967,3.0092757195786017
GAT,2,3,16,4,0.001,2806290.5,1459.4493408203125,1675.1986449373699
GAT,2,3,16,8,0.01,1125234.75,923.33056640625,1060.7708282188005
GAT,2,3,16,8,0.1,2.0570104122161865,1.2503961324691772,1.4342281590514763
GAT,2,3,16,8,0.001,174446.15625,361.7309265136719,417.66751878737233
GAT,2,3,32,2,0.01,213210.765625,400.9287109375,461.7475128519914
GAT,2,3,32,2,0.1,57.10988235473633,7.420102119445801,7.55710806821871
GAT,2,3,32,2,0.001,1465041.5,1053.18798828125,1210.3889870615974
GAT,2,3,32,4,0.01,20554.962890625,124.12937927246094,143.37002089218302
GAT,2,3,32,4,0.1,2.0577800273895264,1.2522344589233398,1.4344964368688848
GAT,2,3,32,4,0.001,1032645.0,881.2236938476562,1016.1914189757755
GAT,2,3,32,8,0.01,3126850.25,1536.8302001953125,1768.2902052547822
GAT,2,3,32,8,0.1,41.58903503417969,6.287851810455322,6.448956119728191
GAT,2,3,32,8,0.001,2517643.5,1381.0299072265625,1586.7083853058823
GAT,2,3,64,2,0.01,2111158.25,1264.310302734375,1452.9825360271884
GAT,2,3,64,2,0.1,2.0522916316986084,1.218945026397705,1.432582155305101
GAT,2,3,64,2,0.001,224108.0625,411.6161193847656,473.4005307348102
GAT,2,3,64,4,0.01,219490.21875,406.64404296875,468.4978321721457
GAT,2,3,64,4,0.1,2.0520665645599365,1.229047179222107,1.4325036001909164
GAT,2,3,64,4,0.001,1336827.25,1003.2820434570312,1156.212458850016
GAT,2,3,64,8,0.01,735798.0,744.8546142578125,857.786686770085
GAT,2,3,64,8,0.1,2.3003385066986084,1.0499426126480103,1.5166866870578803
GAT,2,3,64,8,0.001,985459.5,863.97021484375,992.7031278282547
GAT,2,4,16,2,0.01,69.7662353515625,7.328575134277344,8.352618472764245
GAT,2,4,16,2,0.1,2.0557873249053955,1.2471575736999512,1.433801703481132
GAT,2,4,16,2,0.001,110068.2734375,288.29388427734375,331.7653891494711
GAT,2,4,16,4,0.01,2512580.0,1377.7581787109375,1585.1119834257768
GAT,2,4,16,4,0.1,2.0538487434387207,1.2406808137893677,1.4331255155912621
GAT,2,4,16,4,0.001,1433946.375,1040.132568359375,1197.4749997390343
GAT,2,4,16,8,0.01,141349.71875,328.0141296386719,375.965049904908
GAT,2,4,16,8,0.1,2.0521678924560547,1.2304799556732178,1.4325389671684519
GAT,2,4,16,8,0.001,12149.7548828125,95.79651641845703,110.22592654549337
GAT,2,4,32,2,0.01,1023083.5,880.4088134765625,1011.4759018384966
GAT,2,4,32,2,0.1,28.87671661376953,5.179263114929199,5.373706040878076
GAT,2,4,32,2,0.001,209864.515625,400.30926513671875,458.10972007260443
GAT,2,4,32,4,0.01,101487.828125,277.8338928222656,318.5715431814336
GAT,2,4,32,4,0.1,2.052935838699341,1.2363837957382202,1.4328069788702666
GAT,2,4,32,4,0.001,339484.65625,507.4703369140625,582.6531182873734
GAT,2,4,32,8,0.01,173882.671875,363.5143737792969,416.9924122511104
GAT,2,4,32,8,0.1,2.052072525024414,1.2291486263275146,1.4325056806255303
GAT,2,4,32,8,0.001,419912.1875,562.73779296875,648.0063174846368
GAT,2,4,64,2,0.01,1576792.875,1092.7362060546875,1255.7041351369357
GAT,2,4,64,2,0.1,2.0522100925445557,1.219785213470459,1.4325536962168488
GAT,2,4,64,2,0.001,1876.34130859375,36.964168548583984,43.316755517856485
GAT,2,4,64,4,0.01,10.443532943725586,2.5203826427459717,3.231645547352863
GAT,2,4,64,4,0.1,2.069138765335083,1.1792348623275757,1.4384501261201526
GAT,2,4,64,4,0.001,9896.8017578125,87.50394439697266,99.4826706407327
GAT,2,4,64,8,0.01,2202.38427734375,39.889156341552734,46.92956719749022
GAT,2,4,64,8,0.1,2.0897183418273926,1.293776512145996,1.4455858126819703
GAT,2,4,64,8,0.001,213803.328125,401.178955078125,462.38871972075617
GAT,2,5,16,2,0.01,1237967.875,966.5823974609375,1112.640047364825
GAT,2,5,16,2,0.1,486.67889404296875,19.56806182861328,22.060799941139233
GAT,2,5,16,2,0.001,2171905.25,1280.8304443359375,1473.7385283692627
GAT,2,5,16,4,0.01,59146.10546875,212.37844848632812,243.19972341421362
GAT,2,5,16,4,0.1,2.051968574523926,1.2265307903289795,1.4324693974127076
GAT,2,5,16,4,0.001,34698.33203125,160.68807983398438,186.27488298546854
GAT,2,5,16,8,0.01,2623.5732421875,43.6302604675293,51.220828206770534
GAT,2,5,16,8,0.1,2.1724255084991455,1.347550630569458,1.4739150275708384
GAT,2,5,16,8,0.001,721.4639282226562,23.761987686157227,26.86008056992116
GAT,2,5,32,2,0.01,89819.4453125,259.6499938964844,299.69892444334863
GAT,2,5,32,2,0.1,2.052401542663574,1.2327896356582642,1.432620515930012
GAT,2,5,32,2,0.001,580661.1875,662.9556274414062,762.0112778036819
GAT,2,5,32,4,0.01,938.8590087890625,25.752822875976562,30.640806268586708
GAT,2,5,32,4,0.1,2.331427812576294,1.0392872095108032,1.5269013761786627
GAT,2,5,32,4,0.001,234507.203125,420.0271301269531,484.25943782749346
GAT,2,5,32,8,0.01,10405.7607421875,87.7288589477539,102.0086307240103
GAT,2,5,32,8,0.1,824.8153686523438,28.683855056762695,28.719599033627606
GAT,2,5,32,8,0.001,43822.12109375,182.8253173828125,209.3373380306294
GAT,2,5,64,2,0.01,182585.125,370.6499328613281,427.2998069271738
GAT,2,5,64,2,0.1,2.0996410846710205,1.3022404909133911,1.4490138317735344
GAT,2,5,64,2,0.001,10243.072265625,88.84994506835938,101.20806423217964
GAT,2,5,64,4,0.01,92653.3828125,263.7559509277344,304.39018185956655
GAT,2,5,64,4,0.1,37.986576080322266,5.99454927444458,6.163325083128608
GAT,2,5,64,4,0.001,12148.251953125,96.59541320800781,110.21910883837249
GAT,2,5,64,8,0.01,3497539.75,1627.094482421875,1870.1710483268637
GAT,2,5,64,8,0.1,3.116575159453415e+22,152645124096.0,176538243999.8035
GAT,2,5,64,8,0.001,175633.203125,365.3542175292969,419.0861523899352
